Week,Date,Name,Article Title,Article Link,Twitter Handle,MM Tweet,Key Words
11,"Dec 30, 2019",Jen Hirdman,"Google Earth Engine, Open-Access Satellite Data, and Machine Learning in Support of Large-Area Probabilistic Wetland Mapping",Remote Sensing,@JNHird,Hird 2017,"cloud computing, machine learning, wetland classification, Sentinel-1, Sentinel-2, digital terrain model, boosted regression trees, topographic wetness index, topographic position index, satellite data streams"
12,"Jan 6, 2020",Dr. Maryam Pourshamsi,A Machine-Learning Approach to PolInSAR and LiDAR Data Fusion for Improved Tropical Forest Canopy Height Estimation Using NASA AfriSAR Campaign Data,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,@marpourshamsi,Pourshamsi 2018,"data fusion, forest height, L-band, LiDAR (RH100), polarimetric synthetic aperture radar interferometry (PolInSAR), support vector machine (SVM)"
13,"Jan 13, 2020",Dr. Beth Tellman,Understanding the role of illicit transactions in land-change dynamics,Nature Sustainability,@pazjusticiavida,Tellman 2020,"conceptual framework, illicit land transactions, remote sensing, land use, interdisciplinary, narco-deforestation"
14,"Jan 20, 2020",Andréa Puzzi Nicolau,"A spatial pattern analysis of forest loss in the Madre de Dios region, Peru",Environmental Research Letters,@puzzinicolau,Puzzi Nicolau 2019,"Landsat, forest loss, Amazon, conservation, drivers of deforestation, Peru, spectral mixture analysis"
15,"Jan 27, 2020",Lillian Ndungu,Application of MODIS NDVI for Monitoring Kenyan Rangelands Through a Web Based Decision Support Tool,Frontiers in Environmental Science,@lilianwangui,Ndungu 2019,"ASALS, rangelands, NDVI, MODIS, vegetation indices, Kenya"
16,"Feb 3, 2020",Kelsey Herndon,An Assessment of Surface Water Detection Methods for Water Resource Management in the Nigerien Sahel,Sensors,@KEHerndon,Herndon 2020,"remote sensing, spectral indices, Landsat 8 OLI, West Africa"
17,"Feb 10, 2020",Enass Said Al-Kharusi,Large-Scale Retrieval of Coloured Dissolved Organic Matter in Northern Lakes Using Sentinel-2 Data,Remote Sensing,@SaidEnass,Al-Kharusi 2020,"Sentinel-2A, northern lakes, remote sensing, atmospheric correction, coloured dissolved organic matter (CDOM), water quality"
18,"Feb 17, 2020",Dr. Amy Neuenschwander,The ATL08 land and vegetation product for the ICESat-2 Mission,Remote Sensing of Enviornment,@longhornglam,Neuenschwander 2019,"ICESat-2, Lidar, vegetation, terrain, land"
19,"Feb 24, 2020",Dr. Pinki Mondal,"A reporting framework for Sustainable Development Goal 15: Multi-scale monitoring of forest degradation using MODIS, Landsat and Sentinel data",Remote Sensing of Environment,@environmondal,Mondal 2020,"SDG indicator, forest degradataion, climate, rain-use efficiency, MODIS, Landsat, Sentinel, CHIRPS, Google Earth Engine, protected area, Asia"
20,"Mar 2, 2020",Dr. Agnieszka Faulkner,Coastal Tidal Effects on Industrial Thermal Plumes in Satellite Imagery,Remote Sensing,@its__Agnes,Faulkner 2019,"industrial plumes, remote sensing, Landsat 8, ASTER, SST"
21,"Mar 9, 2020",Grace Koech,"Climate change vulnerability assessment using a GIS modelling approach in ASAL ecosystem: a case study of Upper Ewaso Nyiro basin, Kenya",Modeling Earth Systems and Environment,@GraceKoech1,Koech 2020,"climate change, vulnerability, spatial analyses, semi-arid"
22,"Mar 16, 2020",Dr. Eleanor Stokes,Urban Applications of Nasa’s Black Marble Product Suite,Remote Sensing of Environment,@UrbanElla,Stokes 2019,"urbanization, energy infrastructure, nighttime lights, satellite, urban land use, human settlement, Suomi-NPP, NOAA-20, NASA Black Marble, VIIRS-DNB, Night Lights, NTL"
23,"Mar 23, 2020",Africa Flores-Anderson,"Hyperspectral Satellite Remote Sensing of Water Quality in Lake Atitlán, Guatemala",Frontiers in Environmental Science,@africa_science,Flores-Anderson 2020,"hyperspectral remote sensing, water quality, chlorophyll a concentration, Lake Atitlán, Guatemala"
24,"Mar 30, 2020",Amanda Weigel,A Spatial Pattern Analysis of Land Surface Roughness Heterogeneity and its Relationship to the Initiation of Weak Tornadoes,Earth Interactions,@amweigelWX,Weigel 2019,"atmosphere–land interaction, boundary layer, geographic information systems (GIS), land surface, tornadoes, tornadogenesis"
25,"Apr 6, 2020",Dr. Nkeiruka Nneti Onyia,Normalized Difference Vegetation Vigour Index: A New Remote Sensing Approach to Biodiversity Monitoring in Oil Polluted Regions,Remote Sensing,@NNkeiru,Onyia 2018,"biodiversity monitoring, species diversity, hyper-spectral imaging, Hyperion, spectral metrics, vegetation vigour, oil pollution"
26,"Apr 13, 2020",Dr. Mika Tosca,Attributing Accelerated Summertime Warming in the Southeast United States to Recent Reductions in Aerosol Burden: Indications from Vertically-Resolved Observations,Remote Sensing,@trans_icon_mika,Tosca 2017,"warming hole, air quality, southeast US, global warming, climate change, aerosols"
27,"Apr 20, 2020",Dr. Gopika Suresh,Application of the automatic seep location estimator (ASLE) with the use of contextual information for estimating offshore oil seeps,Remote Sensing Applications: Society and Environment,@Go__pika,Suresh 2017,"automatic classification, ASLE, oil slicks, oil seeps, SAR"
28,"Apr 27, 2020",Dr. Laura Dingle Robertson,Assessing Land Cover Change and Anthropogenic Disturbance in Wetlands Using Vegetation Fractions Derived from Landsat 5 TM Imagery (1984–2010),Wetlands,@LDR1,Dingle Robertson 2015,"wetlands, spectral mixture analysis, anthropogenic disturbance, time series, Landsat"
29,"May 4, 2020",Phoebe Oduor,Land Cover Mapping for Green House Gas Inventories in Eastern and Southern Africa Using Landsat and High Resolution Imagery: Approach and Lessons Learnt,Earth Science Satellite Applications,@poduor24,Oduor 2016,"land cover, land cover change, accuracy assessment, land cover class, land cover mapping"
30,"May 11, 2020",Jesslyn Brown,"Lessons learned implementing an operational continuous United States national land change monitoring capability: The Land Change Monitoring, Assessment, and Projection (LCMAP) approach",Remote Sensing of Environment,@jesslynbrown1,Brown 2020,"time series, Landsat, analysis ready data, land cover, change detection, monitoring, Earth observations"
31,"May 18, 2020",Dr. Harini Nagendra,Classification of Indian cities using Google Earth Engine,Journal of Land Use Science,@HariniNagendra,Nagendra 2019,"urbanization, land cover, Google Earth Engine, supervised classification, random forest classification tree, Landsat images"
32,"May 25, 2020",Dr. Inga Jonkheere,"Image Analysis of Hemispherical Photographs, Algorithms and Calculations","Hemispherical Photography in Forest Science: Theory, Methods, Applications",@aingejo,Jonkheere 2017,"biophysical data extraction, hemispherical photography algorithms, image classification, sun maps, vegetation canopy structure"
33,"Jun 1, 2020",Radhika Bhargava,A cloud computing-based approach to mapping mangrove erosion and progradation: Case studies from the Sundarbans and French Guiana,"Estuarine, Coastal and Shelf Science",@radb06,Bhargava 2021,"mangrove loss, coastal erosion, coastal accretion, Google Earth Engine, water classification"
34,"Jun 8, 2020",Dr. Raha Hakimdavar,Monitoring Water-Related Ecosystems with Earth Observation Data in Support of Sustainable Development Goal (SDG) 6 Reporting,Remote Sensing,@RahaHakimdavar,Hakimdavar 2020,"water-related ecosystems, surface water extent, mangroves, water quality, Sustainable Development Goal 6, Indicator 6.6.1"
35,"Jun 15, 2020",Dr. Polyanna Da Conceição Bispo,Mapping forest successional stages in the Brazilian Amazon using forest heights derived from TanDEM-X SAR interferometry,Remote Sensing of Environment,@Polybispo,Da Conceição Bispo 2019,"tropical forests, successional stages, forest height, Synthetic Aperture Radar, interferometry, TanDEM-X"
36,"Jun 22, 2020",Dr. Samiah Moustafa,Evaluation of satellite remote sensing albedo retrievals over the ablation area of the southwestern Greenland ice sheet,Remote Sensing of Environment,@Samiahmou,Moustafa 2017,"MODIS, WV-2, albedo, ablation zone, Greenland ice sheet, spatial representativeness"
37,"Jun 29, 2020",Dr. Fabiola D. Yépez and Ana Lucrecia Rivera,"Assessing hydrometeorological impacts with terrestrial and aerial Lidar data in Monterrey, México","International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",@fabiolayepez and @LucreciaRivera,Yépez 2013,"hidrometeorological impacts, Lidar, environmental policy, risk management"
38,"Jul 6, 2020",Dr. Michelle Stuhlmacher,Environmental Outcomes of Urban Land System Change: Comparing Riparian Design Approaches in the Phoenix Metropolitan Area,Land Use Policy,@MFStuhlmacher,Stuhlmacher 2020,"land system architecture, design, urban development, remote sensing, urban land systems"
39,"Jul 13, 2020",Richa Marwaha,Object-oriented and pixel-based classification approach for land cover using airborne long-wave infrared hyperspectral data,Journal of Applied Remote Sensing,@richa_marwaha,Marwaha 2015,"support vector machine, spectral angle mapper, minimum noise fraction, error matrix"
40,"Jul 20, 2020",Meyra Fuentes and Dr. Koreen Millard,Big geospatial data analysis for Canada’s Air Pollutant Emissions Inventory (APEI): using google earth engine to estimate particulate matter from exposed mine disturbance areas,GIScience & Remote Sensing,@MDelMal and @GeoKoreen,Fuentes 2020,"Google Earth Engine, random forest classification, transfer learning, air quality, mine mapping"
41,"Jul 27, 2020",Dr. Apoorva Shastry,Water Surface Elevation Constraints in a Data Assimilation Scheme to Infer Floodplain Topography: A Case Study in the Logone Floodplain,Geophysical Research Letters,@ApoorvaShastry,Shastry 2020,"flood inundation prediction, topography, Landsat 7, Landsat 8, MERIT DEM, LISFLOOD-FP, Cameroon"
42,"Aug 3, 2020",Dr. Jill Deines,Mapping three decades of annual irrigation across the US High Plains Aquifer using Landsat and Google Earth Engine,Remote Sensing of Environment,@JillDeines,Deines 2019,"irrigation, Google Earth Engine, Landsat time series, groundwater, High Plains Aquifer, Ogallala Aquifer, agriculture"
43,"Aug 10, 2020",Sheryl Reyes,Enhancing Sustainability in Traditional Agriculture: Indicators for Monitoring the Conservation of Globally Important Agricultural Heritage Systems(GIAHS) in Japan,Sustainability,@srcreyes,Reyes 2020,"agricultural heritage systems, traditional knowledge, socio-ecological production, landscapes and seascapes (SEPLS)"
44,"Aug 17, 2020",Dr. Katarzyna Ewa Lewińska,Short-term vegetation loss versus decadal degradation of grasslands in the Caucasus based on Cumulative Endmember Fractions,Remote Sensing of Environment,@kelewinska,Lewińska 2020,"land degradation, rangelands, spectral mixture analysis (SMA), MODIS, Caucasus mountains, LandTrendr, Landsat, Google Earth Engine"
45,"Aug 24, 2020",Agatha Czekajlo,The urban greenness score: A satellite-based metric for multi-decadal characterization of urban land dynamics,International Journal of Applied Earth Observation and Geoinformation,@AgathaCzekajlo,Czekajlo 2020,"urban, vegetation, time series, Landsat, spectral unmixing, Canada"
46,"Aug 31, 2020",Dr. Carolina Monmany Garzia,"How are landscape complexity and vegetation structure related across an agricultural frontier in the subtropical Chaco, NW Argentina?",Journal of Arid Environments,@CMonmanyGarzia,Monmany Garzia 2015,"landscape metrics, QuickBird, 2-D complexity, 3-D complexity"
47,"Sep 7, 2020",Nimisha Wagle,Past and Present Practices of Topographic Base Map Database Update in Nepal,ISPRS International Journal of Geo-Information,@Wagle1996,Wagle 2020,"topographic base map, national mapping agency, updates, history, ZY-3, Nepal"
48,"Sep 14, 2020",Dr. Mirela Tulbure,Surface water extent dynamics from three decades of seasonally continuous Landsat time series at subcontinental scale in a semi-arid region,Remote Sensing of Environment,@MirelaGTulbure,Tulbure 2016,"Landsat time series, seasonally continuous, surface water dynamics, flooding dynamics, accuracy assessment, probability sampling design, Murray–Darling Basin, Australia, competing water demands, drought, random forest, long term trends, water, river basin, water management"
49,"Sep 21, 2020",Dr. Gohar Ghazaryan,Local-scale agricultural drought monitoring with satellite-based multi-sensor time-series,GIScience & Remote Sensing,@ghazaryangohar,Ghazaryan 2020,"crop stress, Sentinel-1, Landsat-8, Sentinel 2, logistic regression, data fusion"
50,"Sep 28, 2020",Sarah Banks and Dr. Koreen Millard,Contributions of Actual and Simulated Satellite SAR Data for Substrate Type Differentiation and Shoreline Mapping in the Canadian Arctic,Remote Sensing,@SAR_ahBanks and @GeoKoreen,Banks 2017,"RADARSAT-2, RADARSAT Constellation Mission, random forests, Arctic, shorelines"
51,"Oct 5, 2020",Karen Chen,Mapping horizontal and vertical urban densification in Denmark with Landsat time-series from 1985 to 2018: A semantic segmentation solution,Remote Sensing of Environment,@THKarenChen,Chen 2020,urban form; urban growth; urbanization; deep learning; semantic segmentation; multi-temporal classification; spatial and temporal transferability; Landsat
52,"Oct 12, 2020",Dr. Karen Bailey,Land-cover change within and around protected areas in a biodiversity hotspot,Journal of Land Use Science,@karnebe,Bailey 2015,"land-cover change, land-use change, protected area, Landsat, southern Africa"
53,"Oct 19, 2020",Dr. Laura Duncanson,"Biomass estimation from simulated GEDI, ICESat-2 and NISAR across environmental gradients in Sonoma County, California",Remote Sensing of Environment,@LauraDuncanson,Duncanson 2020,"GEDI, NISAR, ICESat-2, biomass estimation, biomass errors, data fusion"
54,"Oct 26, 2020",Dr. Vanessa Brum-Bastos,Multi-source data fusion of optical satellite imagery to characterize habitat selection from wildlife tracking data,Ecological Informatics,@VanessaBBastos,Brum-Bastos 2020,"movement analysis, remote sensing, NDVI, MODIS, Landsat, data fusion, multi-source"
55,"Nov 2, 2020",Mary K. Bennett,Automating Drone Image Processing to Map Coral Reef Substrates Using Google Earth Engine,Drones,@Katie_Ben91,Bennett 2020,"drone mapping, coral reefs, random forest, Google Earth Engine, remote sensing, RPAS, heron reef, drone imagery"
56,"Nov 9, 2020",Dr. Flavia de Souza Mendes,Optical and SAR Remote Sensing Synergism for Mapping Vegetation Types in the Endangered Cerrado/Amazon Ecotone of Nova Mutum—Mato Grosso,Remote Sensing,@flasmendes,de Souza Mendes 2019,"Cerrado, Amazon, vegetation type, optical, sar, synergism, mapping"
57,"Nov 16, 2020",Dr. Alicia Caruso,"Airborne hyperspectral characterisation of hydrothermal alteration in a regolith-dominated terrain, southern Gawler Ranges, South Australia",Australian Journal of Earth Sciences,@aliciascaruso,Caruso 2020,"mineral exploration, regolith-dominated terrain, hyperspectral imagery, HyMap, Spectral Feature Fitting, X-ray diffraction, hydrothermal alteration, Gawler Ranges"
58,"Nov 23, 2020",Dr. Di Yang,Open land-use map: a regional land-use mapping strategy for incorporating OpenStreetMap with earth observations,Geo-spatial Information Science,@yangdi1031,Yang 2017,"OpenStreetMap (OSM), Volunteered Geographic Information (VGI), crowdsourced data, random forest, Google Earth Engine (GEE)"
59,"Nov 30, 2020",Dr. Raechel Portelli,Describing the problem-solving strategies of expert image interpreters using graphical knowledge elicitation methods,GIScience & Remote Sensing,@CurmudgeonPhD,Portelli 2015,"image interpretation, expertise, knowledge elicitation"
60,"Dec 7, 2020",Dr. Xiao Xiang Zhu,A Review of Ten-Year Advances of Multi-Baseline SAR Interferometry Using TerraSAR-X Data,Remote Sensing,@xiaoxiang_zhu,Zhu 2018,"multi-baseline, multi-pass, PS, DS, geodetic, TomoSAR, D-TomoSAR, PSI, robust estimation, covariance matrix, InSAR, SAR, review"
61,"Dec 14, 2020",Chippie Kislik,Application of UAV Imagery to Detect and Quantify Submerged Filamentous Algae and Rooted Macrophytes in a Non-Wadeable River,Remote Sensing,@chippiekizzle,Kislik 2020,"benthic mapping, drones, submerged aquatic vegetation, filamentous algae, macrophytes"
62,"Dec 21, 2020",Dr. Priyanka deSouza,"Combining low-cost, surface-based aerosol monitors with size-resolved satellite data for air quality applications",Atmospheric Measurement Techniques,@PDez90,deSouza 2020,"near-surface particulate matter, air quality, Nairobi, Kenya, ground-based monitors, aerosol optical depth, MODIS, MISR"
63,"Dec 28, 2020",2020 MM Moments Thread,,2020 MM,,,
64,"Jan 4, 2021",Dr. Joanne White,Evaluating the capacity of single photon lidar for terrain characterization under a range of forest conditions,Remote Sensing of Environment,@Joanne_C_White,White 2021,"forestry, elevation, SPL, ALS, Lidar, forest inventory"
65,"Jan 11, 2021",Dr. Dawn Wright,"Swells, Soundings, and Sustainability, but…“Here Be Monsters”",Oceanography,@deepseadawn,Wright 2017,"ocean mapping, GIS, Earth observations, multidimensional approaches, sustainable development goal monitoring, SDG"
66,"Jan 18, 2021",Dr. Meredith Brown,Intercomparison of Machine-Learning Methods for Estimating Surface Shortwave and Photosynthetically Active Radiation,Remote Sensing,@mglbrown,Brown 2020,"PAR, machine-learning, MODIS, shortwave radiation, radiative transfer, surface radiation, satellite remote sensing, radiation budget"
67,"Jan 25, 2021",Charmaine Cruz,"Linear spectral unmixing of Sentinel-3 imagery for urban land cover - land surface temperature (LST) analysis: A case study of metro Manila, Philippines","International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",@charmcharmcruz,Cruz 2019,"urbanization, urban heat island, land cover fractions, land surface temperature, remote sensing"
68,"Feb 1, 2021",Dr. Louise Leroux,Maize yield estimation in West Africa from crop process-induced combinations of multi-domain remote sensing indices,European Journal of Agronomy,@LerouxLouise4,Leroux 2019,"crop yield estimation and forecast, food security, MODIS NDVI and LST, SMOS SSM, statistical model, SARRA-O crop model, uncalibrated approach"
69,"Feb 8, 2021",Ufuoma Ovienmhada,Earth observation technology applied to environmental management : a case study in Benin,DSpace@MIT,@ItsUfuoma,Ovienmhada 2020,"Landsat, Sentinel-2, Sentinel-1, Planet, local stakeholders, invasive plant species, water quality, Benin"
70,"Feb 15, 2021",Dr. Alyssa Whitcraft,No pixel left behind: Toward integrating Earth Observations for agriculture into the United Nations Sustainable Development Goals framework,Remote Sensing of Environment,@AKWhitcraft,Whitcraft 2019,"Earth observations, agriculture, food security, Sustainable development goals, policy mandates, GEOGLAM"
71,"Feb 22, 2021",Jacqueline Hung,"Environmental land-cover classification for integrated watershed studies: Cape Bounty, Melville Island, Nunavut",Arctic Science,@jackiehung4,Hung 2020,"parametric algorithms, non-parametric algorithms, land cover, WorldView-2, Cape Bountry Arctic Watershed Observatory, Nunavut, support vector machine"
72,"Mar 1, 2021",Carly Beneke (Mertes),Detecting change in urban areas at continental scales with MODIS data,Remote Sensing of Environment,@CarlyMertes,Mertes 2015,"urban areas, urbanization, cities, land cover, change detection, classification, machine learning, decision trees, data fusion, decision fusion"
73,"Mar 8, 2021",Anam Khan,Reviews and syntheses: Ongoing and emerging opportunities to improve environmental science using observations from the Advanced Baseline Imager on the Geostationary Operational Environmental Satellites,Biogeosciences - Preprint,@An_Khan3,Khan 2021,"GOES, geostationary satellites, environmental monitoring, heat fluxes, droughts, wildfires"
74,"Mar 15, 2021",Dr. Francesca Giannetti,A New Method for Automated Clearcut Disturbance Detection in Mediterranean Coppice Forests Using Landsat Time Series,Remote Sensing,@fgiannetti_FRS,Giannetti 2020,"Landsat, forest disturbances, time series analysis, remote sensing, Mediterranean forest, optical time series images, algorithm, change detection"
75,"Mar 22, 2021",Dr. Yujia Zhang,Evaluating the effect of 3D urban form on neighborhood land surface temperature using Google Street View and geographically weighted regression,Landscape Ecology,,Zhang 2019,"Google Street View, 3D urban form, Geographically weighted regression, Land surface temperature, Urban heat island"
76,"Mar 29, 2021",Dr. Mylène Jacquemart,"What drives large-scale glacier detachments? Insights from Flat Creek glacier, St. Elias Mountains, Alaska",Geology,@MyleneJac,Jacquemart 2020,"Planet, Arctic, DEM, glacier detachment, Flat Creek Glacier, Alaska"
77,"April 5, 2021",Kurnia Latifiana,Spatial Habitat Suitability Modeling of the Roti Snake-Necked Turtle (Chelodina Mccordi) Based on Landsat-8 Imagery and GIS,2018 4th International Conference on Science and Technology,@latifiana,Latifiana 2018,"Geographic Information System (GIS), Habitat Suitability Index (HSI), freshwater turtles, conservation"
78,"April 12, 2021",Dr. Kirsten J. Lees,Assessing the reliability of peatland GPP measurements by remote sensing: From plot to landscape scale,Science of The Total Environment,@K_J_Lees,Lees 2021,"TG model, photosynthesis, NDVI, satellite, blanket bog"
79,"April 26, 2021",Dr. Hannah Kerner,Rapid Response Crop Maps in Data Sparse Regions,KDD ’20 Humanitarian Mapping Workshop,@hannah_kerner,Kerner 2020,"agriculture, food security, crop classification, neural networks, Earth observation"
80,"May 3, 2021",Dr. Viviana Zalles,Rapid expansion of human impact on natural land in South America since 1985,Science Advances,@vzalles,Zalles 2021,"Landsat, SWIR, NIR, NDVI, land-use conversion, land cover modification, South America"
81,"May 10, 2021",Dr. Ninni Saarinen,Understanding 3D structural complexity of individual Scots pine trees with different management history,Ecology and Evolution,@ninni_saarinen,Saarinen 2021,"box dimension, forest ecology, ground-based LiDAR, growth and yield, silviculture, terrestrial laser scanning, tree structure"
82,"May 17, 2021",Dr. Yhasmin Mendes de Moura,Carbon Dynamics in a Human-Modified Tropical Forest: A Case Study Using Multi-Temporal LiDAR Data,Remote Sensing,@yhasmoura,Mendes de Moura 2020,"airborne LiDAR, Amazon forest, aboveground carbon, canopy height, forest disturbance"
83,"May 24, 2021",Amy Pickens,Mapping and sampling to characterize global inland water dynamics from 1999 to 2018 with full Landsat time-series,Remote Sensing of Environment,,Pickens 2020,"surface water, Landsat, time-series, area estimation, change detection, Global"
84,"May 31, 2021",Angel Chen,Biophysical controls of increased tundra productivity in the western Canadian Arctic,Remote Sensing of Environment,@angelchen95,Chen 2021,"Landsat, Random Forests, Arctic tundra, greening, EVI, vegetation indices, climate change"
85,"June 7, 2021",Dr. Teresa Konlechner,Mapping spatial variability in shoreline change hotspots from satellite data; a case study in southeast Australia,"Estuarine, Coastal and Shelf Science",@tkonlechner,Konlechner 2020,"coastal erosion, Google earth engine, shoreline dynamics, shoreline detection, satellite derived shorelines"
86,"June 14, 2021",Dr. Min Xu,Implementation Strategy and Spatiotemporal Extensibility of Multipredictor Ensemble Model for Water Quality Parameter Retrieval With Multispectral Remote Sensing Data,IEEE Transactions on Geoscience and Remote Sensing,@MinXu_UC,Xu 2021,"chlorophyll-a (Chl-a), ensemble model, spatiotemporal extensibility, space and time, water quality"
87,"June 21, 2021",Dr. Kaitlin M. Gold,Hyperspectral Measurements Enable Pre-Symptomatic Detection and Differentiation of Contrasting Physiological Effects of Late Blight and Early Blight in Potato,Remote Sensing,@KaitlinMGold,Gold 2020,"field spectroscopy, pathogen; plant disease, agriculture, shortwave infrared, hyperspectral"
88,"June 28, 2021",Mary Immaculate Neh-Fru,"Remote Sensing for Geological Investigation of Mayo Kila and Environs, North West Region of Cameroon",American Journal of Earth Sciences,@ImmaculateNeh,Neh-Fru 2020,"Lineaments, fractal analysis, orogeny, remote sensing, Mayo Kila"
89,"July 5, 2021",Abigail Barenblitt,The large footprint of small-scale artisanal gold mining in Ghana,Science of the Total Environment,@abarenblitt,Barenblitt 2021,"Galamsey, Landsat, extent mapping, NDVI, Google Earth Engine"
90,"July 12, 2021",Dr. Bianca Molinari,Assessing Spatial Variation in Algal Productivity in a Tropical River Floodplain Using Satellite Remote Sensing,Remote Sensing,@molinari_bia,Molinari 2021,"statistical modelling, wetlands, tropical rivers, wetland management, epiphyton, phytoplankton, primary productivity, Landsat 8, Australia"
91,"July 19, 2021",Dr. Cheryl Doughty,Characterizing spatial variability in coastal wetland biomass across multiple scales using UAV and satellite imagery,Remote Sensing in Ecology and Conservation,@cherylldoughty,Doughty 2021,"drones, Landsat, saltmarsh, semivariogram, spatial heterogeneity, unoccupied aerial systems"
92,"July 26, 2021",Dr. Lorena A. Santos,Quality control and class noise reduction of satellite image time series,ISPRS Journal of Photogrammetry and Remote Sensing,@lorenaalvesgo,Santos 2021,"self-organizing map, class noise reduction, Bayesian inference, satellite image time series, land use and cover classification"
93,"August 2, 2021",Dr. Laura Chasmer,Using Multitemporal and Multispectral Airborne Lidar to Assess Depth of Peat Loss and Correspondence With a New Active Normalized Burn Ratio for Wildfires,Geophysical Research Letters,@ErsPeat,Chasmer 2017,"active normalized burn ratio, dNBR, lidar, Landsat 7, Fort McMurray, Canada, peatland, wildfire"
94,"August 9, 2021",Gizem Şenel,Exploring the potential of Landsat-8 OLI and Sentinel-2 MSI data for mapping and monitoring Enez Dalyan Lagoon,Desalination and Water Treatment,@GizemSenel,Senel 2019,"coastal lagoon monitoring, Landsat 8, Sentinel-2, spectral water index algorithms, normalized difference water index"
95,"August 16, 2021",Dr. Emma Li Johansson,"Mapping and quantifying perceptions of environmental change in Kilombero Valley, Tanzania",Ambio,@emmalijohansson,Johansson & Abdi 2020,"deforestation, large-scale land acquisitions, mixed methods, participatory research, remote sensing, socio-environmental change"
96,"August 23, 2021",Dr. Cibele Hummel do Amaral,Characterization of indicator tree species in neotropical environments and implications for geological mapping,Remote Sensing of Environment,@CibeleHdoAmaral,do Amaral 2018,"geobotany, Cerrado biome, sedimentary formations, multivariate analysis, spectroscopy, Spectral Mixture Analysis"
97,"August 30, 2021",Zoe Pierrat,Tower‐Based Remote Sensing Reveals Mechanisms Behind a Two‐phased Spring Transition in a Mixed‐Species Boreal Forest,JGR Biogeosciences,@zoeapie,Pierrat 2021,"tower-based remote sensing, PhotoSpec, vegetation indices, spring transition, Boreal forests"
98,"September 6, 2021",Rabia Kahn,Water quality monitoring over Finger Lakes region using Sentinel-2 imagery on Google Earth Engine cloud computing platform,XXIV ISPRS Congress,@MunsafRabia,Khan 2021,"Google Earth Engine, Finger Lakes, Sentinel 2, sediment loading, water quality"
99,"September 13, 2021",Dr. Catherine Champagne,Impact of Soil Moisture Data Characteristics on the Sensitivity to Crop Yields Under Drought and Excess Moisture Conditions,Remote Sensing,@cathchampagne,Champagne 2019,"soil moisture, drought, agriculture, SMOS, ESA-CCI"
